,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
0,Domantas Sabonis,IND,25,24,9,15,33.9,106.7,103.9,2.7,18.4,1.31,19.2,8.9,24.8,16.9,14.7,59.5,62.8,21.3,98.97,15.5,"1,682"
1,Gordon Hayward,CHA,31,24,13,11,33.8,109.7,110.0,-0.3,14.6,1.80,17.0,2.4,11.2,6.7,9.4,53.0,58.0,20.5,104.79,10.2,"1,767"
2,Jonas Valanciunas,NOP,29,24,6,18,31.3,104.6,111.2,-6.6,13.3,1.16,11.7,9.9,28.7,18.8,10.0,54.7,59.3,24.4,97.95,16.1,"1,529"
3,Kelly Oubre Jr.,CHA,25,24,13,11,27.3,111.2,110.1,1.1,5.4,1.00,6.3,4.0,9.2,6.6,6.3,55.6,57.0,21.6,102.34,8.3,"1,393"
4,LaMelo Ball,CHA,20,24,13,11,33.3,113.7,111.3,2.3,35.5,2.54,27.6,4.2,17.7,10.7,10.9,50.2,53.8,26.8,102.99,13.9,"1,718"
5,Miles Bridges,CHA,23,24,13,11,36.2,111.5,109.0,2.5,12.4,1.70,13.7,3.4,15.9,9.6,8.1,52.3,55.5,22.4,102.88,11.0,"1,864"
6,Nickeil Alexander-Walker,NOP,23,24,6,18,28.9,106.5,112.7,-6.2,14.2,1.91,13.9,3.5,10.4,6.8,7.3,44.0,46.8,23.7,98.91,7.6,"1,424"
7,T.J. McConnell,IND,29,24,9,15,24.2,105.6,110.7,-5.0,28.7,4.11,35.0,3.2,10.4,6.7,8.5,52.2,53.6,15.5,100.88,10.9,"1,222"
8,Torrey Craig,IND,30,24,9,15,16.2,106.3,110.1,-3.7,8.3,1.47,14.5,7.4,12.4,9.9,9.9,56.2,58.9,14.0,100.00,8.3,807
9,Buddy Hield,SAC,28,23,9,14,29.1,108.1,111.6,-3.6,12.4,1.41,12.2,2.4,11.4,6.8,8.7,52.3,54.6,23.1,100.67,9.3,"1,402"
10,CJ McCollum,POR,30,23,11,12,35.4,110.3,112.4,-2.1,20.3,2.30,17.0,3.0,8.8,5.8,7.4,51.2,52.3,25.9,99.33,10.0,"1,681"
11,Carmelo Anthony,LAL,37,23,12,11,28.7,109.3,109.4,-0.1,4.4,1.11,6.3,2.3,9.6,6.2,5.7,55.4,58.8,18.9,102.37,8.4,"1,411"
