,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,Kevin Durant,BKN,33,20,14,6,35.8,28.6,10.4,19.2,53.9,1.9,4.8,38.9,6.0,7.0,86.3,0.5,7.1,7.5,5.6,3.0,0.7,0.7,1.4,46.9,6,1,4.2
1,Stephen Curry,GSW,33,20,17,3,34.3,27.8,9.2,20.3,45.2,5.4,13.1,41.2,4.1,4.4,94.3,0.6,5.1,5.7,6.6,3.2,1.8,0.6,1.8,48.3,6,1,13.4
2,Giannis Antetokounmpo,MIL,26,21,14,7,32.7,27.6,9.8,18.4,53.2,1.1,4.1,27.6,6.9,10.2,67.3,1.9,10.0,11.8,6.0,3.2,1.1,1.7,2.9,56.0,13,0,9.6
3,Trae Young,ATL,23,22,12,10,33.9,26.3,9.3,19.9,46.6,2.7,6.9,38.8,5.0,5.6,89.5,0.6,3.2,3.8,9.1,3.8,0.9,0.1,1.7,43.7,10,0,3.6
4,DeMar DeRozan,CHI,32,23,15,8,35.1,26.3,9.3,18.8,49.5,0.8,2.5,32.8,6.8,7.6,89.7,0.7,4.6,5.3,4.1,2.0,1.0,0.4,2.3,40.8,1,0,6.4
5,Paul George,LAC,31,21,11,10,35.5,25.9,9.5,22.0,43.1,2.9,8.8,33.2,4.0,4.5,89.5,0.4,6.9,7.3,5.1,4.3,1.8,0.4,2.6,44.6,5,0,0.5
6,LeBron James,LAL,36,11,7,4,37.0,25.8,9.6,19.9,48.4,2.9,8.5,34.4,3.6,4.8,75.5,0.5,4.7,5.2,6.8,3.7,1.8,0.7,2.3,46.2,3,0,0.0
7,Nikola Jokic,DEN,26,16,9,7,32.7,25.7,10.0,17.3,58.0,1.6,4.3,38.2,4.1,5.4,75.6,2.6,11.1,13.8,6.4,3.2,1.2,0.8,2.8,54.7,13,2,8.7
8,Luka Doncic,DAL,22,17,11,6,34.7,25.6,9.6,21.3,45.0,2.8,8.2,34.3,3.6,5.5,66.7,0.8,7.2,7.9,8.6,4.5,1.2,0.6,2.3,48.9,11,2,-4.8
9,Zach LaVine,CHI,26,23,15,8,34.7,25.4,9.3,19.2,48.8,2.9,7.4,38.8,3.8,4.4,87.1,0.4,4.9,5.3,3.8,2.7,0.5,0.3,1.5,37.3,0,0,1.8
