,PLAYER,TEAM,AGE,GP,W,L,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS
0,Domantas Sabonis,IND,25,24,9,15,813.0,21.3,23.5,19.2,9.4,10.8,36.2,37.5,43.9,34.3,36.3,23.9,29.5,20.7,9.1,25.3,25.2,37.2,23.4
1,Gordon Hayward,CHA,31,24,13,11,811.0,20.5,20.4,20.2,17.8,17.0,29.4,26.0,12.7,17.2,16.2,18.7,20.8,13.0,16.9,14.0,13.2,26.7,21.4
2,Jonas Valanciunas,NOP,29,24,6,18,750.0,24.4,28.6,24.4,17.1,12.4,34.5,33.2,44.3,39.0,40.3,15.2,20.3,11.5,37.0,23.7,24.8,33.3,28.2
3,Kelly Oubre Jr.,CHA,25,24,13,11,656.0,21.6,24.2,24.2,33.0,33.8,13.4,14.6,19.6,13.9,15.3,6.6,13.4,19.8,8.2,24.4,22.6,15.0,23.7
4,LaMelo Ball,CHA,20,24,13,11,799.0,26.8,23.8,26.5,27.6,27.9,26.6,21.9,20.4,26.5,25.0,43.1,36.8,30.1,11.5,23.3,22.3,22.7,24.6
5,Miles Bridges,CHA,23,24,13,11,868.0,22.4,22.7,23.1,20.5,23.9,26.8,26.8,16.9,24.2,22.5,15.6,18.8,17.5,23.0,22.4,19.0,23.8,22.9
6,Nickeil Alexander-Walker,NOP,23,24,6,18,694.0,23.7,21.7,25.7,28.7,33.6,18.0,18.4,15.9,15.0,15.2,17.8,16.4,22.0,18.5,26.2,14.8,15.9,22.0
7,T.J. McConnell,IND,29,24,9,15,581.0,15.5,18.5,17.0,4.9,5.9,7.3,7.1,16.8,15.4,15.7,39.4,16.3,26.3,12.3,16.3,17.1,15.3,15.6
8,Torrey Craig,IND,30,24,9,15,389.0,14.0,16.5,15.0,14.6,17.7,13.1,13.3,34.5,19.0,22.7,11.4,12.4,18.9,11.7,5.4,20.8,14.5,15.7
9,Buddy Hield,SAC,28,23,9,14,668.0,23.1,22.9,25.8,50.0,44.3,14.3,13.2,11.8,18.0,16.5,17.1,19.8,14.9,8.6,18.4,16.8,12.8,24.6
