,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
0,Phoenix Suns,22,19,3,1056.0,111.0,103.6,7.4,61.4,1.94,19.0,23.4,73.0,49.5,13.3,54.9,57.9,101.00,55.7,"2,225"
1,Golden State Warriors,21,18,3,1013.0,112.4,99.8,12.6,70.6,1.78,20.4,27.5,74.5,52.2,16.3,56.3,59.2,100.19,58.2,"2,114"
2,Brooklyn Nets,21,15,6,1008.0,109.5,105.5,4.0,63.8,1.80,18.8,21.5,72.3,48.6,14.1,54.3,58.0,100.05,53.4,"2,101"
3,Chicago Bulls,23,15,8,1104.0,110.4,105.7,4.7,57.0,1.74,17.5,24.2,73.7,49.3,13.6,53.3,57.1,99.28,52.4,"2,281"
4,Milwaukee Bucks,23,14,9,1109.0,109.5,106.3,3.2,56.8,1.59,16.7,26.1,72.9,50.2,14.2,53.3,56.1,99.85,52.3,"2,308"
5,Utah Jazz,21,14,7,1008.0,115.2,105.4,9.8,54.2,1.49,16.5,29.4,73.9,52.8,15.1,56.0,59.3,98.17,55.2,"2,062"
6,Washington Wizards,22,14,8,1071.0,107.1,106.6,0.5,60.1,1.67,17.7,25.4,74.2,50.9,14.4,52.1,55.6,97.75,51.6,"2,181"
7,Charlotte Hornets,24,13,11,1167.0,111.5,111.7,-0.2,62.2,2.00,18.5,26.1,70.9,47.9,12.9,53.3,56.1,101.86,49.4,"2,473"
8,Miami Heat,22,13,9,1066.0,110.1,106.2,3.9,61.5,1.68,17.8,28.9,75.3,52.2,14.7,52.7,56.5,96.79,52.4,"2,152"
9,Atlanta Hawks,22,12,10,1056.0,112.4,109.7,2.8,57.1,1.96,17.6,27.0,74.1,51.0,12.3,53.3,56.5,98.36,51.6,"2,163"
10,Boston Celtics,22,12,10,1086.0,105.6,104.5,1.1,58.2,1.61,16.4,27.0,74.9,50.8,13.9,50.1,54.1,97.64,51.3,"2,215"
11,Cleveland Cavaliers,22,12,10,1056.0,106.6,104.1,2.5,63.0,1.50,18.0,27.8,73.1,51.0,16.6,52.2,55.6,97.64,50.9,"2,145"
12,Los Angeles Lakers,23,12,11,1139.0,106.2,107.9,-1.7,58.1,1.52,17.1,25.5,71.9,49.2,15.2,52.6,55.6,101.75,49.8,"2,416"
13,Memphis Grizzlies,22,12,10,1066.0,111.1,112.3,-1.1,60.6,1.93,18.0,31.8,73.1,51.8,13.3,51.7,54.7,99.67,50.1,"2,216"
14,Dallas Mavericks,20,11,9,965.0,108.6,109.4,-0.8,58.0,1.90,17.3,24.5,74.2,48.6,12.3,52.4,55.0,97.04,48.5,"1,952"
15,LA Clippers,22,11,11,1061.0,105.2,104.5,0.8,58.3,1.51,16.8,25.0,72.6,49.3,15.1,51.9,55.2,99.75,51.1,"2,208"
16,Minnesota Timberwolves,22,11,11,1071.0,106.6,105.5,1.2,58.9,1.45,16.5,30.8,68.0,48.8,15.8,50.5,53.7,99.92,48.5,"2,229"
17,New York Knicks,22,11,11,1066.0,108.5,109.1,-0.6,55.6,1.53,16.1,27.6,72.0,50.1,14.3,51.9,55.3,97.37,49.3,"2,167"
18,Philadelphia 76ers,22,11,11,1066.0,109.7,108.3,1.4,57.3,1.82,17.2,24.3,71.8,48.3,12.7,52.2,55.9,96.34,50.4,"2,135"
19,Portland Trail Blazers,23,11,12,1104.0,110.4,111.8,-1.4,58.3,1.73,17.3,26.6,75.9,50.7,13.7,53.1,56.3,98.76,49.2,"2,275"
20,Denver Nuggets,21,10,11,1008.0,107.4,108.2,-0.8,60.8,1.75,18.1,25.4,75.5,50.1,14.3,53.1,55.6,96.36,49.4,"2,026"
21,Toronto Raptors,23,10,13,1104.0,108.9,109.7,-0.8,52.3,1.58,15.3,33.1,69.4,50.2,13.5,49.7,52.9,96.35,47.9,"2,215"
22,Indiana Pacers,24,9,15,1167.0,107.8,107.1,0.7,58.2,1.65,17.3,28.2,75.0,51.6,14.5,52.3,55.1,98.20,50.6,"2,391"
23,Sacramento Kings,23,9,14,1119.0,108.9,111.7,-2.9,55.5,1.59,16.3,27.9,69.0,48.4,14.0,51.4,54.8,99.92,47.8,"2,325"
24,San Antonio Spurs,20,7,13,965.0,106.7,106.6,0.1,64.1,2.10,19.6,25.9,73.7,49.5,13.1,52.1,54.0,100.38,51.5,"2,015"
25,New Orleans Pelicans,24,6,18,1152.0,105.1,112.3,-7.1,62.5,1.56,17.3,30.2,74.7,51.3,15.6,49.1,53.0,98.21,46.1,"2,351"
26,Oklahoma City Thunder,22,6,16,1056.0,99.1,109.2,-10.1,54.7,1.38,14.9,25.4,74.4,49.1,14.5,47.2,50.5,99.07,43.1,"2,179"
27,Houston Rockets,21,5,16,1013.0,100.8,108.3,-7.5,58.6,1.19,16.0,25.5,74.5,50.1,18.0,50.9,53.9,102.70,45.4,"2,166"
28,Orlando Magic,23,5,18,1104.0,101.0,111.1,-10.1,59.1,1.45,16.2,26.6,72.6,49.1,15.2,48.6,51.7,99.04,43.5,"2,276"
29,Detroit Pistons,22,4,18,1056.0,100.0,109.7,-9.7,60.2,1.41,15.9,26.5,72.4,47.7,15.3,47.0,51.2,98.86,43.5,"2,174"
