,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
0,Phoenix Suns,22,19,3,.864,48.0,112.3,42.7,88.2,48.4,11.5,31.0,37.0,15.5,19.8,78.2,8.7,36.5,45.2,26.2,13.5,9.1,4.0,3.5,19.0,19.0,7.8
1,Golden State Warriors,21,18,3,.857,48.2,113.1,41.2,86.7,47.6,15.1,41.1,36.7,15.6,20.3,76.8,10.0,37.2,47.2,29.1,16.4,9.9,4.8,3.7,19.5,18.1,12.6
2,Brooklyn Nets,21,15,6,.714,48.0,109.6,39.8,85.0,46.8,12.7,34.1,37.2,17.3,21.3,81.0,8.0,36.4,44.3,25.4,14.1,6.9,5.4,4.7,18.8,20.1,4.0
3,Utah Jazz,21,14,7,.667,48.0,113.1,40.6,85.7,47.3,14.9,41.7,35.7,17.1,22.0,77.7,9.9,36.6,46.5,22.0,14.8,7.6,5.6,4.1,19.1,20.0,9.7
4,Chicago Bulls,23,15,8,.652,48.0,109.5,41.0,87.2,47.1,10.9,29.3,37.1,16.6,19.8,83.7,8.9,34.3,43.2,23.4,13.5,8.3,4.5,5.7,19.1,17.7,4.4
5,Washington Wizards,22,14,8,.636,48.7,106.2,39.7,86.2,46.1,10.3,32.0,32.2,16.4,21.0,78.1,9.4,37.1,46.5,23.9,14.3,6.3,5.5,4.4,18.4,19.6,0.5
6,Milwaukee Bucks,23,14,9,.609,48.2,109.9,40.0,88.7,45.2,14.3,39.7,36.2,15.4,20.9,73.8,10.1,37.3,47.4,22.7,14.3,7.3,4.4,4.8,17.3,19.0,3.3
7,Miami Heat,22,13,9,.591,48.5,107.7,39.4,86.0,45.8,11.9,34.3,34.6,17.1,21.3,80.4,10.5,34.5,45.0,24.2,14.4,7.6,2.4,4.9,20.6,20.0,4.1
8,Dallas Mavericks,20,11,9,.550,48.3,106.0,39.6,88.1,45.0,13.0,38.2,34.1,13.8,18.8,73.1,9.8,33.6,43.3,23.0,12.1,7.6,4.3,4.4,19.1,18.4,-0.7
9,Atlanta Hawks,22,12,10,.545,48.0,110.5,41.6,89.4,46.6,12.0,32.0,37.4,15.3,19.2,79.9,10.5,35.7,46.2,23.8,12.1,6.8,4.4,4.6,17.3,19.4,2.6
10,Boston Celtics,22,12,10,.545,49.4,106.3,38.7,89.0,43.4,11.9,36.2,32.8,17.0,21.0,81.3,10.5,36.7,47.2,22.5,14.0,7.4,5.7,4.9,18.8,19.6,1.6
11,Cleveland Cavaliers,22,12,10,.545,48.0,103.9,38.4,84.7,45.3,11.7,34.0,34.4,15.5,20.0,77.7,10.2,34.8,45.0,24.2,16.1,7.3,4.2,4.8,16.4,18.4,2.1
12,Memphis Grizzlies,22,12,10,.545,48.5,112.0,42.5,93.9,45.2,12.2,35.6,34.3,14.8,19.2,77.3,13.0,34.7,47.7,25.7,13.4,9.7,6.4,6.3,18.6,18.0,-0.9
